scenario,replication,seed,admission_rate,rejection_rate,avg_wait_hours,avg_machine_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_cycle_time_hours,rejection_rate_low_priority,rejection_rate_medium_priority,rejection_rate_high_priority,scrap_rate,avg_machine_downtime_fraction,n_jobs
policy_priority,2,939074755,0.943558282208589,0.1325153374233129,0.146954873159204,0.5890217391304348,8,0.0010869565217391304,0.14456521739130435,3.7935313900789533,0.16170212765957448,0.14592933947772657,0.08840864440078586,0.0687116564417178,0.014673913043478263,1630
policy_priority,3,558468124,0.9477000630119723,0.1266540642722117,0.12815680718422645,0.5965217391304347,6,0.0,0.12717391304347825,3.9068600261425908,0.15315315315315314,0.1187683284457478,0.11279826464208242,0.06868304977945809,0.018804347826086955,1587
policy_priority,4,78522606,0.9589127686472819,0.1264222503160556,0.08968363762759088,0.5705434782608695,5,0.0,0.09782608695652174,3.693242255261504,0.11038961038961038,0.1332263242375602,0.13279678068410464,0.0777496839443742,0.015543478260869565,1582
policy_priority,5,1845399623,0.9585760517799353,0.1203883495145631,0.12298022778118557,0.5776086956521739,8,0.0010869565217391304,0.11304347826086956,3.8859370583257613,0.1191588785046729,0.11507293354943274,0.128,0.07572815533980583,0.017282608695652173,1545
policy_priority,6,1365454105,0.9560509554140127,0.11528662420382166,0.10774316587663421,0.5879347826086958,5,0.0,0.11413043478260869,3.8937957396981635,0.12780269058295965,0.12950819672131147,0.08754863813229571,0.06624203821656051,0.01608695652173913,1570
policy_priority,7,984847474,0.9563543003851092,0.13093709884467267,0.11730568147851325,0.5645652173913045,6,0.0,0.11630434782608695,3.7886021917773425,0.12307692307692308,0.12379421221864952,0.14760914760914762,0.08279845956354301,0.011956521739130435,1558
policy_priority,8,604240843,0.9490245437382001,0.1277533039647577,0.12201306681501915,0.5853260869565218,6,0.0,0.11739130434782609,3.8692989071318045,0.12184873949579832,0.12643678160919541,0.1349206349206349,0.06796727501573317,0.015,1589
policy_priority,9,124295325,0.9230313795145056,0.15808170515097691,0.22940680293179472,0.6247826086956522,8,0.0010869565217391304,0.20543478260869566,4.092743170517016,0.1610337972166998,0.17877906976744187,0.12650602409638553,0.07282415630550622,0.016195652173913045,1689
policy_priority,10,1891172342,0.9536553524804178,0.11945169712793734,0.13838664353165783,0.5701086956521739,8,0.002173913043478261,0.11847826086956521,3.895017921047745,0.1457905544147844,0.10430463576158941,0.1111111111111111,0.0685378590078329,0.014130434782608694,1532
policy_priority,11,1411226824,0.9465601965601965,0.13206388206388206,0.11341075308555208,0.5946739130434782,7,0.0,0.12717391304347825,3.8095911082116327,0.13535353535353536,0.13050314465408805,0.13078470824949698,0.07248157248157248,0.017282608695652173,1628
policy_priority,12,1030620193,0.9469413233458177,0.1348314606741573,0.14428957573877782,0.5908695652173913,7,0.0,0.13152173913043477,3.9182830145881717,0.15317286652078774,0.13444108761329304,0.11801242236024845,0.07365792759051186,0.02108695652173913,1602
